analytic,cls_EulerSolver,cls_HeunSolver
33.3,29.4741,29.4146,29.4893
33.4,29.4296,29.3705,29.4447
33.5,29.3855,29.3268,29.4005
33.6,29.3419,29.2836,29.3568
33.7,29.2987,29.2408,29.3134
33.8,29.2559,29.1984,29.2706
33.9,29.2136,29.1565,29.2281
34,29.1717,29.115,29.1861
34.1,29.1302,29.0739,29.1445
34.2,29.0891,29.0332,29.1033
34.3,29.0484,28.9929,29.0625
34.4,29.0081,28.953,29.0221
34.5,28.9682,28.9135,28.9821
34.6,28.9287,28.8744,28.9426
34.7,28.8896,28.8357,28.9034
34.8,28.8509,28.7974,28.8646
34.9,28.8126,28.7594,28.8261
35,28.7747,28.7219,28.7881
35.1,28.7371,28.6847,28.7505
35.2,28.6999,28.6479,28.7132
35.3,28.6631,28.6114,28.6763
35.4,28.6267,28.5754,28.6397
35.5,28.5906,28.5396,28.6036
35.6,28.5549,28.5043,28.5677
35.7,28.5195,28.4693,28.5323
35.8,28.4845,28.4346,28.4972
35.9,28.4498,28.4003,28.4624
36,28.4155,28.3663,28.428
36.1,28.3815,28.3327,28.3939
36.2,28.3478,28.2994,28.3602
36.3,28.3145,28.2665,28.3268
36.4,28.2815,28.2338,28.2937
36.5,28.2489,28.2015,28.261
36.6,28.2166,28.1695,28.2285
36.7,28.1846,28.1379,28.1965
36.8,28.1529,28.1065,28.1647
36.9,28.1215,28.0755,28.1332
37,28.0904,28.0448,28.1021
37.1,28.0597,28.0143,28.0712
37.2,28.0292,27.9842,28.0407
37.3,27.9991,27.9544,28.0105
37.4,27.9693,27.9249,27.9806
37.5,27.9397,27.8957,27.9509
37.6,27.9105,27.8668,27.9216
37.7,27.8815,27.8381,27.8926
37.8,27.8528,27.8098,27.8638
37.9,27.8245,27.7817,27.8353
38,27.7963,27.7539,27.8072
38.1,27.7685,27.7264,27.7793
38.2,27.741,27.6992,27.7516
38.3,27.7137,27.6722,27.7243
38.4,27.6867,27.6455,27.6972
38.5,27.66,27.6191,27.6704
38.6,27.6335,27.5929,27.6438
38.7,27.6073,27.567,27.6176
38.8,27.5814,27.5414,27.5915
38.9,27.5557,27.516,27.5658
39,27.5302,27.4908,27.5403
39.1,27.5051,27.466,27.515
39.2,27.4801,27.4413,27.49
39.3,27.4555,27.4169,27.4653
39.4,27.431,27.3928,27.4408
39.5,27.4068,27.3689,27.4165
39.6,27.3829,27.3452,27.3925
39.7,27.3592,27.3218,27.3687
39.8,27.3357,27.2986,27.3452
39.9,27.3125,27.2756,27.3219
40,27.2895,27.2529,27.2988
40.1,27.2667,27.2304,27.2759
40.2,27.2441,27.2081,27.2533
40.3,27.2218,27.186,27.2309
40.4,27.1997,27.1642,27.2087
40.5,27.1778,27.1426,27.1868
40.6,27.1561,27.1212,27.165
40.7,27.1347,27.1,27.1435
40.8,27.1134,27.079,27.1222
40.9,27.0924,27.0582,27.1011
41,27.0716,27.0377,27.0802
41.1,27.051,27.0173,27.0596
41.2,27.0306,26.9972,27.0391
41.3,27.0104,26.9772,27.0188
41.4,26.9904,26.9575,26.9987
41.5,26.9706,26.9379,26.9789
41.6,26.9509,26.9186,26.9592
41.7,26.9315,26.8994,26.9397
41.8,26.9123,26.8804,26.9205
41.9,26.8933,26.8616,26.9014
42,26.8744,26.843,26.8825
42.1,26.8558,26.8246,26.8637
42.2,26.8373,26.8064,26.8452
42.3,26.819,26.7883,26.8269
42.4,26.8009,26.7705,26.8087
42.5,26.783,26.7528,26.7907
42.6,26.7653,26.7353,26.7729
42.7,26.7477,26.7179,26.7553
42.8,26.7303,26.7008,26.7379
42.9,26.7131,26.6838,26.7206
43,26.6961,26.667,26.7035
43.1,26.6792,26.6503,26.6866
43.2,26.6625,26.6338,26.6698
43.3,26.6459,26.6175,26.6532
43.4,26.6296,26.6014,26.6368
43.5,26.6134,26.5854,26.6205
43.6,26.5973,26.5695,26.6044
43.7,26.5814,26.5538,26.5884
43.8,26.5657,26.5383,26.5727
43.9,26.5501,26.5229,26.557
44,26.5347,26.5077,26.5415
44.1,26.5194,26.4927,26.5262
44.2,26.5043,26.4778,26.511
44.3,26.4893,26.463,26.496
44.4,26.4745,26.4484,26.4812
44.5,26.4598,26.4339,26.4664
44.6,26.4453,26.4196,26.4519
44.7,26.4309,26.4054,26.4374
44.8,26.4167,26.3914,26.4231
44.9,26.4026,26.3775,26.409
45,26.3886,26.3637,26.395
45.1,26.3748,26.3501,26.3811
45.2,26.3611,26.3366,26.3674
45.3,26.3476,26.3232,26.3538
45.4,26.3342,26.31,26.3403
45.5,26.3209,26.2969,26.327
45.6,26.3078,26.284,26.3138
45.7,26.2947,26.2711,26.3008
45.8,26.2819,26.2585,26.2878
45.9,26.2691,26.2459,26.275
46,26.2565,26.2334,26.2624
46.1,26.244,26.2211,26.2498
46.2,26.2316,26.2089,26.2374
46.3,26.2193,26.1968,26.2251
46.4,26.2072,26.1849,26.2129
46.5,26.1952,26.173,26.2009
46.6,26.1833,26.1613,26.1889
46.7,26.1715,26.1497,26.1771
46.8,26.1599,26.1382,26.1654
46.9,26.1483,26.1269,26.1538
47,26.1369,26.1156,26.1424
47.1,26.1256,26.1045,26.131
47.2,26.1144,26.0934,26.1198
47.3,26.1033,26.0825,26.1086
47.4,26.0923,26.0717,26.0976
47.5,26.0815,26.061,26.0867
47.6,26.0707,26.0504,26.0759
47.7,26.06,26.0399,26.0652
47.8,26.0495,26.0295,26.0546
47.9,26.0391,26.0192,26.0441
48,26.0287,26.009,26.0337
48.1,26.0185,25.999,26.0235
48.2,26.0083,25.989,26.0133
48.3,25.9983,25.9791,26.0032
48.4,25.9884,25.9693,25.9933
48.5,25.9785,25.9596,25.9834
48.6,25.9688,25.95,25.9736
48.7,25.9592,25.9406,25.9639
48.8,25.9496,25.9312,25.9543
48.9,25.9402,25.9219,25.9449
49,25.9308,25.9126,25.9355
49.1,25.9216,25.9035,25.9262
49.2,25.9124,25.8945,25.917
49.3,25.9033,25.8856,25.9078
49.4,25.8943,25.8767,25.8988
49.5,25.8854,25.868,25.8899
49.6,25.8766,25.8593,25.881
49.7,25.8679,25.8507,25.8723
49.8,25.8593,25.8422,25.8636
49.9,25.8507,25.8338,25.855
50,25.8422,25.8255,25.8465
50.1,25.8339,25.8172,25.8381
50.2,25.8256,25.8091,25.8298
50.3,25.8174,25.801,25.8215
50.4,25.8092,25.793,25.8134
50.5,25.8012,25.785,25.8053
50.6,25.7932,25.7772,25.7973
50.7,25.7853,25.7694,25.7894
50.8,25.7775,25.7618,25.7815
50.9,25.7698,25.7541,25.7737
51,25.7621,25.7466,25.7661
51.1,25.7545,25.7392,25.7584
51.2,25.747,25.7318,25.7509
51.3,25.7396,25.7245,25.7434
51.4,25.7322,25.7172,25.736
51.5,25.7249,25.7101,25.7287
51.6,25.7177,25.703,25.7215
51.7,25.7106,25.6959,25.7143
51.8,25.7035,25.689,25.7072
51.9,25.6965,25.6821,25.7002
52,25.6896,25.6753,25.6932
52.1,25.6827,25.6685,25.6863
52.2,25.6759,25.6619,25.6795
52.3,25.6692,25.6553,25.6728
52.4,25.6625,25.6487,25.6661
52.5,25.6559,25.6422,25.6594
52.6,25.6494,25.6358,25.6529
52.7,25.643,25.6295,25.6464
52.8,25.6366,25.6232,25.64
52.9,25.6302,25.6169,25.6336
53,25.6239,25.6108,25.6273
53.1,25.6177,25.6047,25.6211
53.2,25.6116,25.5986,25.6149
53.3,25.6055,25.5927,25.6088
53.4,25.5995,25.5867,25.6027
53.5,25.5935,25.5809,25.5968
53.6,25.5876,25.5751,25.5908
53.7,25.5818,25.5693,25.5849
53.8,25.576,25.5636,25.5791
53.9,25.5702,25.558,25.5734
54,25.5646,25.5524,25.5677
54.1,25.559,25.5469,25.562
54.2,25.5534,25.5415,25.5564
54.3,25.5479,25.536,25.5509
54.4,25.5424,25.5307,25.5454
54.5,25.537,25.5254,25.54
54.6,25.5317,25.5201,25.5347
54.7,25.5264,25.5149,25.5293
54.8,25.5212,25.5098,25.5241
54.9,25.516,25.5047,25.5189
55,25.5108,25.4997,25.5137
55.1,25.5058,25.4947,25.5086
55.2,25.5007,25.4897,25.5035
55.3,25.4957,25.4848,25.4985
55.4,25.4908,25.48,25.4936
55.5,25.4859,25.4752,25.4887
55.6,25.4811,25.4705,25.4838
55.7,25.4763,25.4658,25.479
55.8,25.4716,25.4611,25.4743
55.9,25.4669,25.4565,25.4695
56,25.4622,25.4519,25.4649
56.1,25.4576,25.4474,25.4602
56.2,25.4531,25.4429,25.4557
56.3,25.4486,25.4385,25.4511
56.4,25.4441,25.4341,25.4467
56.5,25.4397,25.4298,25.4422
56.6,25.4353,25.4255,25.4378
56.7,25.431,25.4213,25.4335
56.8,25.4267,25.4171,25.4292
56.9,25.4224,25.4129,25.4249
57,25.4182,25.4088,25.4207
57.1,25.4141,25.4047,25.4165
57.2,25.41,25.4006,25.4124
57.3,25.4059,25.3966,25.4083
57.4,25.4018,25.3927,25.4042
57.5,25.3978,25.3887,25.4002
57.6,25.3939,25.3849,25.3962
57.7,25.39,25.381,25.3923
57.8,25.3861,25.3772,25.3884
57.9,25.3822,25.3734,25.3845
58,25.3784,25.3697,25.3807
58.1,25.3747,25.366,25.3769
58.2,25.371,25.3624,25.3732
58.3,25.3673,25.3587,25.3694
58.4,25.3636,25.3552,25.3658
58.5,25.36,25.3516,25.3621
58.6,25.3564,25.3481,25.3585
58.7,25.3529,25.3446,25.355
58.8,25.3493,25.3412,25.3514
58.9,25.3459,25.3378,25.3479
59,25.3424,25.3344,25.3445
59.1,25.339,25.3311,25.3411
59.2,25.3357,25.3277,25.3377
59.3,25.3323,25.3245,25.3343
59.4,25.329,25.3212,25.331
59.5,25.3257,25.318,25.3277
59.6,25.3225,25.3148,25.3244
59.7,25.3193,25.3117,25.3212
59.8,25.3161,25.3086,25.318
59.9,25.313,25.3055,25.3149
60,25.3098,25.3025,25.3117
60.1,25.3068,25.2994,25.3086
60.2,25.3037,25.2964,25.3056
60.3,25.3007,25.2935,25.3025
60.4,25.2977,25.2905,25.2995
60.5,25.2947,25.2876,25.2965
60.6,25.2918,25.2848,25.2936
60.7,25.2889,25.2819,25.2907
60.8,25.286,25.2791,25.2878
60.9,25.2832,25.2763,25.2849
61,25.2804,25.2736,25.2821
61.1,25.2776,25.2708,25.2793
61.2,25.2748,25.2681,25.2765
61.3,25.2721,25.2654,25.2738
61.4,25.2694,25.2628,25.2711
61.5,25.2667,25.2602,25.2684
61.6,25.264,25.2576,25.2657
61.7,25.2614,25.255,25.263
61.8,25.2588,25.2524,25.2604
61.9,25.2562,25.2499,25.2578
62,25.2537,25.2474,25.2553
62.1,25.2512,25.245,25.2527
62.2,25.2487,25.2425,25.2502
62.3,25.2462,25.2401,25.2477
62.4,25.2437,25.2377,25.2453
62.5,25.2413,25.2353,25.2428
62.6,25.2389,25.233,25.2404
62.7,25.2365,25.2306,25.238
62.8,25.2342,25.2283,25.2357
62.9,25.2318,25.226,25.2333
63,25.2295,25.2238,25.231
63.1,25.2273,25.2216,25.2287
63.2,25.225,25.2193,25.2264
63.3,25.2228,25.2172,25.2242
63.4,25.2205,25.215,25.222
63.5,25.2183,25.2128,25.2198
63.6,25.2162,25.2107,25.2176
63.7,25.214,25.2086,25.2154
63.8,25.2119,25.2065,25.2133
63.9,25.2098,25.2045,25.2111
64,25.2077,25.2024,25.209
64.1,25.2056,25.2004,25.207
64.2,25.2036,25.1984,25.2049
64.3,25.2016,25.1964,25.2029
